Accession,FBgn
Q9VSX2,FBgn0035982
Q9VI32,FBgn0037454
M9PF16,FBgn0250788
P13706,FBgn0001128
Q7KVX5,FBgn0029687
Q9VZ12,FBgn0030283
Q9VBN5,FBgn0039359
Q9VMB8,FBgn0031831
A1A711,FBgn0085336
Q9VL70,FBgn0040064
M9PIP2,FBgn0028550
Q9VQM2,FBgn0031505
Q8IQ00,FBgn0031518
Q7JWQ7,FBgn0034709
P54385,FBgn0001098
Q8INN3,FBgn0051415
Q9VKX2,FBgn0262782
Q94920,FBgn0004363
P11147,FBgn0266599
A0A0B4LHU2,FBgn0039688
Q9W1U3,FBgn0034825
Q23982,FBgn0011694
A0A0B4LFU6,FBgn0034417
P11046,FBgn0261800
Q09332,FBgn0014075
Q058Z8,FBgn0050324
A1ZBD8,FBgn0034391
Q9VK29,FBgn0032478
Q7KN94,FBgn0010516
Q6GUT7,FBgn0034152
Q02748,FBgn0001942
Q9VL52,FBgn0051755
O77134,FBgn0038224
Q9VSW2,FBgn0035978
A1ZA73,FBgn0265045
Q9VMU6,FBgn0031678
P12646,FBgn0004057
P46415,FBgn0011768
Q8IQG9,FBgn0022709
Q24560,FBgn0284243
P84029,FBgn0284248
Q95TL8,FBgn0030734
X2JG03,FBgn0004959
Q9VP62,FBgn0037064
Q9VLG0,FBgn0040963
A0A0S0WH10,FBgn0287423
A0A0B4LGZ7,FBgn0266446
P02283,FBgn0001198
P02283,FBgn0061209
P02283,FBgn0053868
P02283,FBgn0053870
P02283,FBgn0053872
P02283,FBgn0053874
P02283,FBgn0053876
P02283,FBgn0053878
P02283,FBgn0053880
P02283,FBgn0053882
P02283,FBgn0053884
P02283,FBgn0053886
P02283,FBgn0053888
P02283,FBgn0053890
P02283,FBgn0053892
P02283,FBgn0053894
P02283,FBgn0053896
P02283,FBgn0053898
P02283,FBgn0053900
P02283,FBgn0053902
P02283,FBgn0053904
P02283,FBgn0053906
P02283,FBgn0053908
P02283,FBgn0053910
Q7JXC4,FBgn0034259
Q9W4Z1,FBgn0003159
P41572,FBgn0004654
A0A0B4K7X0,FBgn0262571
P02843,FBgn0004045
C0HKQ8,FBgn0000277
P25160,FBgn0000115
P00399,FBgn0013674
M9NFG6,FBgn0262842
P22464,FBgn0000083
P48149,FBgn0010198
