Accession,FBgn
E2QD63,FBgn0029676
E4NKJ3,FBgn0283471
F0JAG6,FBgn0000667
F3YDF1,FBgn0034792
F6J1D0,FBgn0003514
H5V8B8,FBgn0260439
I0DHK3,FBgn0250843
M9MQH9,FBgn0260439
M9MRC9,FBgn0285948
M9MRD0,FBgn0010288
M9MRD1,FBgn0261836
M9MRG2,FBgn0043456
M9MRX4,FBgn0261788
M9MS48,FBgn0030479
M9MSG8,FBgn0264953
M9MSL3,FBgn0026418
M9ND95,FBgn0264695
M9NDH8,FBgn0035534
M9NDI6,FBgn0260439
M9NE68,FBgn0001224
M9NE92,FBgn0031717
M9NEZ5,FBgn0264975
M9NF14,FBgn0285926
M9NF46,FBgn0264695
M9NFC0,FBgn0283471
M9NFH8,FBgn0036663
M9NFM7,FBgn0035542
M9NH07,FBgn0004169
M9PB84,FBgn0004867
M9PB90,FBgn0027568
M9PBL3,FBgn0001233
M9PBN7,FBgn0011570
M9PBR6,FBgn0053523
M9PBU9,FBgn0031414
M9PBZ9,FBgn0015218
M9PC43,FBgn0001128
M9PC89,FBgn0016978
M9PC99,FBgn0262126
M9PCE8,FBgn0016122
M9PCI2,FBgn0029148
M9PCQ1,FBgn0015623
M9PD09,FBgn0036918
M9PD18,FBgn0265262
M9PD27,FBgn0036974
M9PDB8,FBgn0000183
M9PDR0,FBgn0041180
M9PDU4,FBgn0011361
M9PDX8,FBgn0032946
M9PE14,FBgn0035335
M9PE71,FBgn0013342
M9PEA6,FBgn0015521
M9PEK6,FBgn0002873
M9PF16,FBgn0250788
M9PF40,FBgn0010741
M9PFN1,FBgn0040075
M9PFR8,FBgn0042177
M9PG15,FBgn0052451
M9PG62,FBgn0261396
M9PGI6,FBgn0260855
M9PGL7,FBgn0016041
M9PGV7,FBgn0003371
M9PH10,FBgn0000346
M9PH32,FBgn0026206
M9PH59,FBgn0030616
M9PH99,FBgn0004516
M9PHK8,FBgn0001624
M9PI17,FBgn0086254
M9PIG4,FBgn0264561
M9PIM0,FBgn0024733
M9PJM6,FBgn0004169
M9PJN2,FBgn0264078
M9PJN8,FBgn0001092
M9PJQ5,FBgn0283471
O01666,FBgn0020235
O02195,FBgn0015834
O02649,FBgn0015245
O15971,FBgn0015789
O16043,FBgn0022893
O16797,FBgn0020910
O17445,FBgn0028697
O18332,FBgn0285937
O18333,FBgn0014009
O18335,FBgn0015790
O18338,FBgn0262518
O18388,FBgn0262743
O18404,FBgn0021765
O18405,FBgn0019925
O18413,FBgn0020369
O18640,FBgn0020618
O44081,FBgn0259937
O44226,FBgn0023212
O46037,FBgn0004397
O46050,FBgn0023542
O46067,FBgn0023529
O46084,FBgn0023517
O46199,FBgn0015584
O61305,FBgn0024804
O61345,FBgn0015527
O61360,FBgn0020309
O61491,FBgn0024754
O61604,FBgn0024238
O62526,FBgn0025111
O62530,FBgn0263351
O62602,FBgn0261524
O62619,FBgn0267385
O62621,FBgn0025724
O76454,FBgn0024841
O76742,FBgn0015795
O76894,FBgn0025390
O76922,FBgn0000146
O76994,FBgn0025366
O77062,FBgn0026439
O77134,FBgn0038224
O77410,FBgn0025582
O77434,FBgn0260855
O77460,FBgn0016687
O77477,FBgn0025336
O96299,FBgn0022359
O96860,FBgn0026141
O97066,FBgn0262801
O97102,FBgn0264922
O97125,FBgn0001230
O97182,FBgn0001961
O97418,FBgn0025839
O97428,FBgn0026084
O97477,FBgn0025885
O97479,FBgn0024289
P00334,FBgn0000055
P00967,FBgn0000053
P02255,FBgn0001195
P02255,FBgn0051617
P02255,FBgn0053804
P02255,FBgn0053810
P02255,FBgn0053813
P02255,FBgn0053816
P02255,FBgn0053819
P02255,FBgn0053822
P02255,FBgn0053825
P02255,FBgn0053828
P02255,FBgn0053831
P02255,FBgn0053837
P02255,FBgn0053840
P02255,FBgn0053843
P02255,FBgn0053846
P02255,FBgn0053849
P02255,FBgn0053852
P02255,FBgn0053864
P02283,FBgn0001198
P02283,FBgn0061209
P02283,FBgn0053868
P02283,FBgn0053870
P02283,FBgn0053872
P02283,FBgn0053874
P02283,FBgn0053876
P02283,FBgn0053878
P02283,FBgn0053880
P02283,FBgn0053882
P02283,FBgn0053884
P02283,FBgn0053886
P02283,FBgn0053888
P02283,FBgn0053890
P02283,FBgn0053892
P02283,FBgn0053894
P02283,FBgn0053896
P02283,FBgn0053898
P02283,FBgn0053900
P02283,FBgn0053902
P02283,FBgn0053904
P02283,FBgn0053906
P02283,FBgn0053908
P02283,FBgn0053910
P02299,FBgn0001199
P02299,FBgn0051613
P02299,FBgn0053803
P02299,FBgn0053806
P02299,FBgn0053809
P02299,FBgn0053812
P02299,FBgn0053815
P02299,FBgn0053818
P02299,FBgn0053821
P02299,FBgn0053824
P02299,FBgn0053827
P02299,FBgn0053830
P02299,FBgn0053833
P02299,FBgn0053836
P02299,FBgn0053839
P02299,FBgn0053842
P02299,FBgn0053845
P02299,FBgn0053848
P02299,FBgn0053851
P02299,FBgn0053854
P02299,FBgn0053857
P02299,FBgn0053860
P02299,FBgn0053863
P02299,FBgn0053866
P02517,FBgn0001225
P02518,FBgn0001226
P02572,FBgn0000043
P02574,FBgn0000045
P02843,FBgn0004045
P04359,FBgn0002626
P05205,FBgn0003607
P05389,FBgn0003274
P06603,FBgn0003884
P06604,FBgn0003886
P06606,FBgn0087040
P06754,FBgn0003721
P07182,FBgn0000359
P07486,FBgn0001091
P07909,FBgn0001215
P08171,FBgn0000592
P08182,FBgn0000259
P08570,FBgn0002593
P08645,FBgn0004636
P08736,FBgn0284245
P08841,FBgn0003888
P08928,FBgn0002525
P09052,FBgn0283442
P09180,FBgn0003279
P10333,FBgn0002855
P10674,FBgn0285925
P10676,FBgn0002938
P10735,FBgn0003714
P10987,FBgn0000042
P11147,FBgn0266599
P11995,FBgn0002562
P11997,FBgn0002564
P12982,FBgn0004103
P13008,FBgn0261597
P13060,FBgn0000559
P13217,FBgn0262738
P13395,FBgn0250789
P13469,FBgn0002780
P13607,FBgn0002921
P13706,FBgn0001128
P14199,FBgn0003231
P15007,FBgn0000579
P15348,FBgn0284220
P15357,FBgn0003942
P16378,FBgn0001122
P17210,FBgn0001308
P17336,FBgn0000261
P17704,FBgn0005533
P17917,FBgn0005655
P18053,FBgn0261394
P18091,FBgn0000667
P18170,FBgn0000427
P18171,FBgn0000427
P18432,FBgn0002773
P18489,FBgn0003660
P18930,FBgn0013681
P19109,FBgn0003261
P19351,FBgn0004169
P19889,FBgn0000100
P20007,FBgn0003067
P20240,FBgn0266420
P20354,FBgn0001123
P20432,FBgn0001149
P21187,FBgn0265297
P21914,FBgn0014028
P22465,FBgn0000084
P22700,FBgn0263006
P22769,FBgn0004066
P22817,FBgn0001247
P23128,FBgn0004419
P23226,FBgn0002645
P23625,FBgn0004435
P25007,FBgn0004432
P25171,FBgn0002638
P25439,FBgn0000212
P25843,FBgn0000308
P26270,FBgn0002787
P26686,FBgn0004587
