Accession,FBgn
Q7JYH3,FBgn0034576
Q8IGH1,FBgn0028424
P15215,FBgn0267348
E1JHE4,FBgn0267828
Q9VF33,FBgn0026616
Q24117,FBgn0011760
Q95TL8,FBgn0030734
A8DY43,FBgn0264339
Q9VVW3,FBgn0036843
E1JHT6,FBgn0053113
A8JUW5,FBgn0002917
Q9VIK1,FBgn0032880
Q9W0M4,FBgn0035165
Q8SWZ9,FBgn0029994
E1JJR2,FBgn0086778
H9XVQ4,FBgn0053653
O76324,FBgn0002413
Q7KVQ7,FBgn0052675
Q7PL91,FBgn0085736
Q7PL91,FBgn0058002
P13678,FBgn0003093
Q9VDT5,FBgn0038738
D3DML7,FBgn0032901
A1ZBY3,FBgn0040726
Q7JZ25,FBgn0033755
Q9Y136,FBgn0027578
Q8MR94,FBgn0034691
Q9V4B6,FBgn0051998
P16621,FBgn0000464
E1JHQ6,FBgn0026438
Q8MR08,FBgn0034583
A1Z9U2,FBgn0033958
Q9VDT4,FBgn0038739
Q6NP72,FBgn0033608
Q9VKM3,FBgn0010612
Q9U6P7,FBgn0028400
Q9VMI9,FBgn0025742
Q9W534,FBgn0025631
Q9VP61,FBgn0012034
A1Z9M6,FBgn0033911
Q9Y0H4,FBgn0003557
P41596,FBgn0011582
Q7K1V5,FBgn0037374
Q9VDG5,FBgn0013995
Q9VWD3,FBgn0031064
Q9I7U2,FBgn0035321
A1Z935,FBgn0033762
Q0KIB0,FBgn0083949
Q9W3M4,FBgn0027280
Q7K0W1,FBgn0033918
Q95T61,FBgn0027608
Q0KI33,FBgn0038890
Q7JRB2,FBgn0033054
Q9NFR5,FBgn0266347
Q9V9V6,FBgn0039862
Q9VCT4,FBgn0017590
Q9VPG0,FBgn0036986
Q9W1B5,FBgn0034971
P45437,FBgn0008635
Q9W2E8,FBgn0034645
Q0KI85,FBgn0083950
Q9VA91,FBgn0039757
Q9VY22,FBgn0030576
Q5LJX9,FBgn0265767
Q9W0L6,FBgn0035173
Q94887,FBgn0013997
Q8IGX6,FBgn0041150
Q9V8R9,FBgn0010434
P25455,FBgn0004611
Q24418,FBgn0010399
O62530,FBgn0263351
Q8IR72,FBgn0052638
Q8MQS1,FBgn0035710
Q9VDV4,FBgn0038721
Q9VYK6,FBgn0030412
Q9VT48,FBgn0036043
Q9VPV8,FBgn0031294
P17971,FBgn0005564
Q8IRI6,FBgn0264574
Q9NHD5,FBgn0024188
P61209,FBgn0010348
Q9V427,FBgn0027108
Q9VQC0,FBgn0031424
Q8SXX1,FBgn0039924
Q24319,FBgn0014868
P46461,FBgn0000346
Q9VMX1,FBgn0031659
D0Z772,FBgn0052226
Q24372,FBgn0010238
Q9U4Y1,FBgn0010803
Q9VHL1,FBgn0037633
Q95TK5,FBgn0039854
Q9VC63,FBgn0039207
Q9VJQ0,FBgn0028888
Q9VC40,FBgn0039223
Q9U9P7,FBgn0027872
Q9VS47,FBgn0035763
Q7KNS3,FBgn0015754
Q8WR08,FBgn0034072
Q9V4C7,FBgn0259214
Q9V3R8,FBgn0028375
O46094,FBgn0023508
P25228,FBgn0005586
Q24151,FBgn0016917
Q9VRW2,FBgn0035695
Q7K1D7,FBgn0033196
Q9VE75,FBgn0028670
A8DYJ6,FBgn0086604
Q0KHN6,FBgn0259677
P40792,FBgn0010333
Q9VBU5,FBgn0039304
Q9VR44,FBgn0031645
Q8IGE3,FBgn0043806
Q9VVX3,FBgn0016797
Q6NLA3,FBgn0028671
Q0E8S5,FBgn0031897
Q2M1E6,FBgn0265082
Q7JYV2,FBgn0033876
Q967X6,FBgn0016061
Q7K2G1,FBgn0033886
Q7JYX5,FBgn0266186
Q05733,FBgn0005619
Q24492,FBgn0010173
Q8MRQ4,FBgn0037689
Q27884,FBgn0003139
Q9GQF1,FBgn0024187
O77062,FBgn0026439
P40793,FBgn0010341
Q8IP45,FBgn0261268
Q9VYJ4,FBgn0030421
B7YZV2,FBgn0264815
Q8MT29,FBgn0032397
Q8IGY2,FBgn0039081
O77047,FBgn0025608
A8JTM7,FBgn0261260
Q9V3N6,FBgn0028541
Q9VAL5,FBgn0004369
Q9W486,FBgn0052758
Q9W5G7,FBgn0040370
Q9W1G5,FBgn0261794
Q7K126,FBgn0033029
P48554,FBgn0014011
P32234,FBgn0010339
Q9W4Y9,FBgn0264598
Q7KIN0,FBgn0034476
Q9Y1A7,FBgn0002778
Q9V3Y4,FBgn0027786
Q494G7,FBgn0058263
Q9VF87,FBgn0038320
Q9VQG4,FBgn0019830
P11046,FBgn0261800
P22769,FBgn0004066
Q86P47,FBgn0015622
P08646,FBgn0003205
Q0E9F2,FBgn0024189
E1JJA4,FBgn0003392
Q9VG00,FBgn0002354
Q9VPX2,FBgn0031307
P21521,FBgn0004242
Q9VMY8,FBgn0037218
Q6QU65,FBgn0265140
Q9W429,FBgn0029849
Q9XZ16,FBgn0027526
Q7KUJ8,FBgn0036391
Q9VDU1,FBgn0038733
A1Z7H2,FBgn0263120
A1Z813,FBgn0033460
E1JID9,FBgn0260660
Q9VEN6,FBgn0038474
Q9V6G5,FBgn0026619
Q86BP0,FBgn0262483
P05031,FBgn0000422
Q9VZW0,FBgn0052484
C0HDP4,FBgn0261089
Q7JWI7,FBgn0033028
Q0E9K5,FBgn0033159
Q9V397,FBgn0028479
Q94526,FBgn0017561
P23128,FBgn0004419
Q8SYF7,FBgn0041004
A8Y4V5,FBgn0069969
Q9VAS7,FBgn0265274
Q9W3C4,FBgn0041629
Q9VLI9,FBgn0260861
P27716,FBgn0004646
Q7K7B5,FBgn0025628
Q9V7Y2,FBgn0010591
Q95NU8,FBgn0086677
Q9V4E7,FBgn0039915
Q9VB46,FBgn0015737
Q9VUN0,FBgn0036494
Q9VGF7,FBgn0260743
Q8T8R5,FBgn0039773
P07668,FBgn0000303
Q9VVA4,FBgn0036663
Q6AWF2,FBgn0028496
E1JJK6,FBgn0003218
Q9VTX5,FBgn0020655
Q7K274,FBgn0021979
Q7K0L7,FBgn0037852
Q9V3I2,FBgn0014010
O96306,FBgn0023416
Q7K130,FBgn0033206
Q9VTG0,FBgn0260795
Q9VZ96,FBgn0262870
Q9VZL3,FBgn0035471
P08645,FBgn0004636
B7Z122,FBgn0029663
Q9VMB4,FBgn0031835
Q00748,FBgn0004513
Q24208,FBgn0263740
A8JPQ1,FBgn0085382
Q9VH66,FBgn0037754
Q9VW13,FBgn0036888
A1Z6X6,FBgn0283450
Q9VFJ3,FBgn0038233
O96607,FBgn0025777
Q9W260,FBgn0025878
Q7JWS8,FBgn0039532
Q9VBX7,FBgn0053095
Q9VN14,FBgn0037240
Q9W0C5,FBgn0035244
B6IDZ4,FBgn0083975
Q0E940,FBgn0034237
